file_id,dial_a,dial_b,start_time,duration,service_id,hplmn,vplmn,external_charges
1,201000000046,201000000008,2026-04-27 15:03:08,1,3,EGYVO,,0
1,201421638665,youtube.com,2026-04-18 00:24:08,35136117,2,EGYVO,,0
1,201000000022,youtube.com,2026-04-19 01:37:08,42068301,6,EGYVO,USA01,0
1,201742482326,201223344556,2026-04-10 05:45:08,1,3,EGYVO,,0
1,201277676035,whatsapp.net,2026-04-04 13:51:08,33586217,2,EGYVO,,0
1,201000000035,201223344556,2026-04-12 01:19:08,1,3,EGYVO,,0
1,201000000023,facebook.com,2026-04-12 06:34:08,40393074,2,EGYVO,,0
1,201420731899,201090000003,2026-04-05 15:43:08,2753,1,EGYVO,,0
1,201590288456,facebook.com,2026-04-04 06:52:08,26102646,2,EGYVO,,0
1,201399521241,201223344556,2026-04-12 15:00:08,1,7,EGYVO,GER01,0
1,201000000002,google.com,2026-04-29 17:13:08,48999735,2,EGYVO,,0
1,201222156953,201223344556,2026-04-16 07:48:08,1,7,EGYVO,UAE01,0
1,201725767736,facebook.com,2026-04-26 14:43:08,26442596,6,EGYVO,FRA01,0
1,201892594062,201223344556,2026-04-10 12:28:08,6102,5,EGYVO,USA01,0
1,201807409782,fmrz-telecom.net,2026-04-29 08:36:08,32235916,2,EGYVO,,0
1,201480812037,201090000003,2026-04-29 02:20:08,1,7,EGYVO,UK01,0
1,201795118881,201000000008,2026-04-06 06:52:08,1,3,EGYVO,,0
1,201731509325,201223344556,2026-04-27 09:22:08,4206,5,EGYVO,UAE01,0
1,201000000063,201090000003,2026-04-07 22:18:08,1830,5,EGYVO,UAE01,0
1,201639909693,facebook.com,2026-04-19 08:29:08,49309530,2,EGYVO,,0
1,201000000033,201090000002,2026-04-24 19:14:08,1,3,EGYVO,,0
1,201000000002,google.com,2026-04-02 03:48:08,45658229,2,EGYVO,,0
1,201373685722,201223344556,2026-04-15 16:39:08,1,3,EGYVO,,0
1,201544739530,201090000003,2026-04-07 09:46:08,1,7,EGYVO,USA01,0
1,201000000044,201090000002,2026-04-22 05:36:08,4244,1,EGYVO,,0
1,201884002998,201090000002,2026-04-18 09:15:08,6772,5,EGYVO,GER01,0
1,201280350684,201000000008,2026-04-12 17:37:08,3365,1,EGYVO,,0
1,201590288456,201000000008,2026-04-25 15:44:08,4781,1,EGYVO,,0
1,201615922194,201000000008,2026-04-12 21:43:08,6691,1,EGYVO,,0
1,201699129335,201090000002,2026-04-15 00:35:08,1,3,EGYVO,,0
1,201573560989,fmrz-telecom.net,2026-04-08 15:31:08,7744282,2,EGYVO,,0
1,201542776578,201090000003,2026-04-29 14:55:08,1,3,EGYVO,,0
1,201814479848,201090000001,2026-04-11 15:30:08,1,3,EGYVO,,0
1,201000000035,whatsapp.net,2026-04-26 14:45:08,36563003,6,EGYVO,USA01,0
1,201542776578,201090000003,2026-04-11 13:42:08,7096,1,EGYVO,,0
1,201207540095,201090000002,2026-03-31 08:47:08,1,7,EGYVO,GER01,0
1,201000000021,facebook.com,2026-04-19 05:15:08,12398825,2,EGYVO,,0
1,201912929712,201090000002,2026-04-09 10:39:08,1,7,EGYVO,FRA01,0
1,201000000011,201000000008,2026-04-02 05:53:08,1,7,EGYVO,UK01,0
1,201000000012,fmrz-telecom.net,2026-04-28 20:52:08,49880443,2,EGYVO,,0
1,201649032416,201223344556,2026-04-09 20:04:08,1,3,EGYVO,,0
1,201000000029,201000000008,2026-04-08 05:38:08,2931,5,EGYVO,GER01,0
1,201806374057,201090000002,2026-04-02 17:59:08,1,3,EGYVO,,0
1,201000000035,201090000002,2026-04-27 09:13:08,5548,1,EGYVO,,0
1,201000000019,201223344556,2026-04-06 16:29:08,1,3,EGYVO,,0
1,201000000042,201000000008,2026-04-01 03:01:08,1,3,EGYVO,,0
1,201915057234,google.com,2026-03-30 18:10:08,30435048,2,EGYVO,,0
1,201884002998,youtube.com,2026-04-16 20:00:08,48392457,2,EGYVO,,0
1,201672879810,youtube.com,2026-04-02 22:07:08,24697827,2,EGYVO,,0
1,201000000045,youtube.com,2026-04-07 04:05:08,10560348,2,EGYVO,,0
1,201960106287,201223344556,2026-04-07 00:13:08,1,3,EGYVO,,0
1,201291490356,facebook.com,2026-04-12 03:19:08,28527777,2,EGYVO,,0
1,201000000028,201000000008,2026-04-29 04:06:08,1,3,EGYVO,,0
1,201974222870,youtube.com,2026-03-30 16:51:08,51839859,2,EGYVO,,0
1,201000000030,201000000008,2026-04-09 05:29:08,3561,1,EGYVO,,0
1,201000000031,whatsapp.net,2026-04-21 04:00:08,17125643,2,EGYVO,,0
1,201000000015,201090000002,2026-04-18 12:19:08,1,3,EGYVO,,0
1,201326784672,whatsapp.net,2026-04-06 12:17:08,48844112,2,EGYVO,,0
1,201259012646,google.com,2026-04-21 13:57:08,7378260,6,EGYVO,GER01,0
1,201665180852,201090000001,2026-03-31 08:28:08,3728,5,EGYVO,GER01,0
1,201443034851,201090000003,2026-03-31 07:32:08,1,3,EGYVO,,0
1,201000000001,201090000001,2026-04-19 16:57:08,1,7,EGYVO,GER01,0
1,201393015335,youtube.com,2026-04-17 00:14:08,18309263,2,EGYVO,,0
1,201000000032,201090000001,2026-04-25 17:41:08,4952,1,EGYVO,,0
1,201000000019,201090000001,2026-04-06 22:36:08,1,3,EGYVO,,0
1,201000000031,201090000003,2026-04-01 08:59:08,566,1,EGYVO,,0
1,201590834655,201090000003,2026-04-28 14:38:08,1,3,EGYVO,,0
1,201807409782,201090000003,2026-04-02 09:55:08,2517,1,EGYVO,,0
1,201938650036,201090000001,2026-04-10 19:43:08,4444,1,EGYVO,,0
1,201000000016,201090000002,2026-04-25 08:57:08,1,7,EGYVO,UAE01,0
1,201529549288,201090000001,2026-04-23 04:06:08,5839,1,EGYVO,,0
1,201193577939,201223344556,2026-04-10 19:06:08,5081,1,EGYVO,,0
1,201000000010,whatsapp.net,2026-04-02 13:33:08,22797287,6,EGYVO,USA01,0
1,201421638665,201223344556,2026-04-23 05:19:08,6326,5,EGYVO,USA01,0
1,201291490356,201090000003,2026-04-11 23:35:08,4111,5,EGYVO,UK01,0
